         K    RunTime
     10000   0.701000
     20000   1.355000
     30000   1.947000
     40000   2.612000
     50000   3.166000
     60000   3.759000
     70000   4.366000
     80000   5.026000
     90000   5.610000
    100000   6.213000
    110000   6.638000
    120000   7.261000
    130000   7.838000
    140000   8.502000
    150000   9.050000
    160000   9.617000
    170000   9.996000
    180000  10.805000
    190000  11.312000
    200000  11.863000
    210000  12.330000
    220000  12.837000
    230000  13.463000
    240000  14.122000
    250000  14.671000
    260000  15.144000
    270000  15.732000
    280000  16.332000
    290000  16.899000
    300000  17.361000
    310000  17.871000
    320000  18.438000
    330000  19.072000
    340000  19.567000
    350000  20.106000
    360000  20.828000
    370000  21.316000
    380000  21.955000
    390000  22.429000
    400000  23.062000
    410000  23.428000
    420000  24.051000
    430000  24.723000
    440000  25.120000
    450000  25.656000
    460000  26.297000
    470000  26.677000
    480000  27.295000
    490000  27.900000
    500000  28.529000
    510000  29.180000
    520000  29.465000
    530000  30.533000
    540000  30.622000
    550000  31.420000
    560000  31.846000
    570000  32.518000
    580000  33.130000
    590000  33.129000
    600000  33.170000
