         K    RunTime
     10000   0.726000
     20000   1.393000
     30000   2.003000
     40000   2.701000
     50000   3.199000
     60000   3.851000
     70000   4.473000
     80000   5.160000
     90000   5.645000
    100000   6.319000
    110000   6.857000
    120000   7.381000
    130000   8.025000
    140000   8.631000
    150000   9.224000
    160000   9.722000
    170000  10.189000
    180000  10.930000
    190000  11.659000
    200000  12.119000
    210000  12.519000
    220000  13.156000
    230000  13.818000
    240000  14.329000
    250000  15.056000
    260000  15.633000
    270000  16.182000
    280000  16.734000
    290000  17.221000
    300000  17.897000
    310000  18.269000
    320000  19.012000
    330000  19.690000
    340000  20.465000
    350000  21.007000
    360000  21.536000
    370000  22.302000
    380000  22.669000
    390000  23.245000
